"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,9,"Sant Andreu",60,"Sant Andreu","Home","15 anys",262
2020,9,"Sant Andreu",61,"la Sagrera","Home","15 anys",117
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Home","15 anys",54
2020,9,"Sant Andreu",63,"Navas","Home","15 anys",105
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","15 anys",147
2020,10,"Sant Martí",65,"el Clot","Home","15 anys",124
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","15 anys",49
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","15 anys",55
2020,10,"Sant Martí",68,"el Poblenou","Home","15 anys",194
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","15 anys",69
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Home","15 anys",131
2020,10,"Sant Martí",71,"Provençals del Poblenou","Home","15 anys",106
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Home","15 anys",106
2020,10,"Sant Martí",73,"la Verneda i la Pau","Home","15 anys",126
2020,1,"Ciutat Vella",1,"el Raval","Home","16 anys",197
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Home","16 anys",43
2020,1,"Ciutat Vella",3,"la Barceloneta","Home","16 anys",33
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","16 anys",68
2020,2,"Eixample",5,"el Fort Pienc","Home","16 anys",99
2020,2,"Eixample",6,"la Sagrada Família","Home","16 anys",191
2020,2,"Eixample",7,"la Dreta de l'Eixample","Home","16 anys",186
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","16 anys",157
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","16 anys",196
2020,2,"Eixample",10,"Sant Antoni","Home","16 anys",152
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Home","16 anys",160
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","16 anys",6
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Home","16 anys",161
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","16 anys",47
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Home","16 anys",56
2020,3,"Sants-Montjuïc",16,"la Bordeta","Home","16 anys",77
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Home","16 anys",88
2020,3,"Sants-Montjuïc",18,"Sants","Home","16 anys",144
2020,4,"Les Corts",19,"les Corts","Home","16 anys",183
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","16 anys",99
2020,4,"Les Corts",21,"Pedralbes","Home","16 anys",75
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","16 anys",25
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","16 anys",161
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","16 anys",129
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","16 anys",160
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","16 anys",298
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","16 anys",176
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Home","16 anys",79
2020,6,"Gràcia",29,"el Coll","Home","16 anys",34
2020,6,"Gràcia",30,"la Salut","Home","16 anys",66
2020,6,"Gràcia",31,"la Vila de Gràcia","Home","16 anys",180
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Home","16 anys",124
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Home","16 anys",93
2020,7,"Horta-Guinardó",34,"Can Baró","Home","16 anys",39
2020,7,"Horta-Guinardó",35,"el Guinardó","Home","16 anys",160
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Home","16 anys",36
2020,7,"Horta-Guinardó",37,"el Carmel","Home","16 anys",143
2020,7,"Horta-Guinardó",38,"la Teixonera","Home","16 anys",59
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Home","16 anys",52
2020,7,"Horta-Guinardó",40,"Montbau","Home","16 anys",23
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Home","16 anys",18
2020,7,"Horta-Guinardó",42,"la Clota","Home","16 anys",3
2020,7,"Horta-Guinardó",43,"Horta","Home","16 anys",157
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Home","16 anys",101
2020,8,"Nou Barris",45,"Porta","Home","16 anys",119
2020,8,"Nou Barris",46,"el Turó de la Peira","Home","16 anys",77
2020,8,"Nou Barris",47,"Can Peguera","Home","16 anys",10
2020,8,"Nou Barris",48,"la Guineueta","Home","16 anys",75
2020,8,"Nou Barris",49,"Canyelles","Home","16 anys",30
2020,8,"Nou Barris",50,"les Roquetes","Home","16 anys",105
2020,8,"Nou Barris",51,"Verdun","Home","16 anys",48
2020,8,"Nou Barris",52,"la Prosperitat","Home","16 anys",117
2020,8,"Nou Barris",53,"la Trinitat Nova","Home","16 anys",34
2020,8,"Nou Barris",54,"Torre Baró","Home","16 anys",17
2020,8,"Nou Barris",55,"Ciutat Meridiana","Home","16 anys",64
2020,8,"Nou Barris",56,"Vallbona","Home","16 anys",6
2020,9,"Sant Andreu",57,"la Trinitat Vella","Home","16 anys",53
2020,9,"Sant Andreu",58,"Baró de Viver","Home","16 anys",14
2020,9,"Sant Andreu",59,"el Bon Pastor","Home","16 anys",73
2020,9,"Sant Andreu",60,"Sant Andreu","Home","16 anys",288
2020,9,"Sant Andreu",61,"la Sagrera","Home","16 anys",111
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Home","16 anys",55
2020,9,"Sant Andreu",63,"Navas","Home","16 anys",93
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Home","16 anys",130
2020,10,"Sant Martí",65,"el Clot","Home","16 anys",101
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Home","16 anys",52
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Home","16 anys",60
2020,10,"Sant Martí",68,"el Poblenou","Home","16 anys",159
2020,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Home","16 anys",73
2020,10,"Sant Martí",70,"el Besòs i el Maresme","Home","16 anys",123
2020,10,"Sant Martí",71,"Provençals del Poblenou","Home","16 anys",99
2020,10,"Sant Martí",72,"Sant Martí de Provençals","Home","16 anys",111
2020,10,"Sant Martí",73,"la Verneda i la Pau","Home","16 anys",138
2020,1,"Ciutat Vella",1,"el Raval","Home","17 anys",246
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Home","17 anys",54
2020,1,"Ciutat Vella",3,"la Barceloneta","Home","17 anys",41
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Home","17 anys",135
2020,2,"Eixample",5,"el Fort Pienc","Home","17 anys",123
2020,2,"Eixample",6,"la Sagrada Família","Home","17 anys",180
2020,2,"Eixample",7,"la Dreta de l'Eixample","Home","17 anys",165
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Home","17 anys",133
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Home","17 anys",194
2020,2,"Eixample",10,"Sant Antoni","Home","17 anys",114
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Home","17 anys",162
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Home","17 anys",9
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Home","17 anys",166
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Home","17 anys",27
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Home","17 anys",48
2020,3,"Sants-Montjuïc",16,"la Bordeta","Home","17 anys",71
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Home","17 anys",91
2020,3,"Sants-Montjuïc",18,"Sants","Home","17 anys",144
2020,4,"Les Corts",19,"les Corts","Home","17 anys",187
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Home","17 anys",101
2020,4,"Les Corts",21,"Pedralbes","Home","17 anys",63
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Home","17 anys",43
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Home","17 anys",155
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Home","17 anys",109
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Home","17 anys",141
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Home","17 anys",261
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Home","17 anys",140
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Home","17 anys",66
2020,6,"Gràcia",29,"el Coll","Home","17 anys",29
2020,6,"Gràcia",30,"la Salut","Home","17 anys",70
2020,6,"Gràcia",31,"la Vila de Gràcia","Home","17 anys",158
